salary,about,description,title,skills,company,responsibilities,contact,location,education
,,,,Excellent skills in Microsoft Excel,,,,,
,,,, (pivot tables),,,,,
,,,,", Word and PowerPoint software",,,,,
,,,,Experience with,,,,,
,,,, and/or developing reports in an ERP system is a must. ,,,,,
,,,,Ability to handle multiple tasks and consistently meet deadlines in a ,,,,,
,,,,fast paced environment.,,,,,
,,,,Experience with general accounting ,,,,,
,,,,a plus,,,,,
,,,,Experience with implementation of internal controls a plus,,,,,
,,,,Experience with hedging interest rates or foreign exchange a plus,,,,,
,,,,Manufacturing and cost accounting experience ,,,,,
,,,,a plus,,,,,
,,,,Excellent skills in Microsoft Excel,,,,,
,,,, (pivot tables),,,,,
,,,,", Word and PowerPoint software",,,,,
,,,,Experience with,,,,,
,,,, and/or developing reports in an ERP system is a must. ,,,,,
,,,,Ability to handle multiple tasks and consistently meet deadlines in a ,,,,,
,"The programmer / analyst may participate in larger projects such as Autodesk Infrastructure Map Server (AIMS) upgrade, FME upgrade, ArcGIS Hazus, etc.",,,,,,,,
, ,,,,,,,,
,Qualifications:  ,,,,,,,,
, ,,,,,,,,
,N.B.: An Enhanced Reliability Check security clearance is a requirement of this position.,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Email your resume, quoting position title, by ",,,,,,,,
,1:00 pm,,,,,,,,
,", ",,,,,,,,
,"July 11, 2014 ",,,,,,,,
,to ,,,,,,,,
,hr@bcferries.com,,,,,,,,
, or fax to ,,,,,,,,
,(250) 978-1225,,,,,,,,
,.,,,,,,,,
, ,,,,,,,,
,"We appreciate the interest of all applicants, however, only those selected for an interview will be contacted.",,,,,,,,
,,,,fast paced environment.,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,On behalf of our client located in ,,,,,,,,
,"Vancouver, Ignite Technical Resources",,,,,,,,
, is looking for a ,,,,,,,,
,GIS Programmer Analyst,,,,,,,,
, to join our client’s team on a ,,,,,,,,
,9 month term employment,,,,,,,,
, opportunity. ,,,,,,,,
,,,"<title>
    Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Technical Support Analyst Job in Richmond v6x 1x5, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Senior Financial Analyst Job in Vancouver V6Z2H3, British Columbia Canada
  </title>",,,,,,
,,,,"5+ years of experience in an analytical, FP&A   or finance capacity",,,,,
,,,"<title>
    BI Developer Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,Do you hear the words ‘enterprise BI solution’ and your ears perk up?,,,,,,,,
,            ,,,,,,,,
,            ,,,,,,,,
,,,"<title>
    Financial Analyst Job in Burnaby V6B1P1, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Business Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Technical Analyst, Voice Systems Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,"Provides Tier 1/Tier 2 support to the business       users for voice systems including user account administration, access       privileges, CTI integration and desktop applications, voice servers and       telephony appliances using incident/work request management systems.",,,,,
,,,"<title>
    Central Procurement and Inventory Analyst Job in Richmond V6V2V4, British Columbia Canada
  </title>",,,,,,
, ,,,,,,,,
,Application Expiry Date:,,,,,,,,
, ,,,,,,,,
,The Role:,,,,,,,,
," The successful candidate will support the client’s existing web applications,  Google based single purpose maps, and FME server publishing process for Open Data.  System administration and sustainment duties also include application performance monitoring, testing and trouble shooting.   ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst will also be responsible for delivering on demand service requests to improve the existing GIS applications. Duties include: gathering and analysis of user/business requirements, proposing solutions to meet identified requirements, and developing and testing complex systems and system integrations.  ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst may participate in larger projects such as Autodesk Infrastructure Map Server (AIMS) upgrade, FME upgrade, ArcGIS Hazus, etc.",,,,,,,,
, ,,,,,,,,
,Qualifications:  ,,,,,,,,
, ,,,,,,,,
,N.B.: An Enhanced Reliability Check security clearance is a requirement of this position.,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
,,,, and   ,,,,,
,,,,Experience with activity based costing a plus   ,,,,,
,,,,"Completion of an Accounting designation (CGA,CA or   CMA)",,,,,
,"Would you like to work for a company that is at the forefront of their industry, and is continually looking at staying cutting edge?",,,,,,,,
,                       ,,,,,,,,
,                       ,,,,,,,,
,"If you are interested in joining a company that is looking to expand their Business Intelligence team by implementing and upgrading their BI solutions, improving their reporting, and really integrating BI with their business, keep reading.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,WPCG,,,,,,,,
, is looking for a ,,,,,,,,
,BI Developer Analyst,,,,,,,,
," to join our client on a permanent basis. This role will allow someone to use their extensive experience with Data warehouses, Data modeling, Data Mining and Cubes while providing analysis and proposing successful BI solutions.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,"Our client is motivated to find better ways to structure their data warehouse, as well as improve how they use and analyze data and information, to increase revenue streams.",,,,,,,,
,"You will be responsible for everything from gathering and documenting requirements, to the design, development and implementation of BI solutions around Data Warehouses and Data Cubes.",,,,,,,,
,Requirements:,,,,,,,,
,,,,Coordinates with Tier 3 support (either       external vendors or other internal IT support staff) to troubleshoot and       resolve issues and prepare incident reports for system outages.,,,,,
, ,,,,,,,,
, ,,,,,,,,
,"If you possess these skills and qualifications, we invite you to apply online in confidence at ",,,,,,,,
,www.corix.com,,,,,,,,
,.,,,,,,,,
,"We thank all candidates for their interest; however, only those shortlisted will be contacted.",,,,,,,,
,No telephone calls or recruitment agencies will be accepted.,,,,,,,,
, ,,,,,,,,
,Application Expiry Date:,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
,,,,   ,,,,,
,,,,Strong problem-solving and analytical   skills.,,,,,
,,,,   ,,,,,
,,,,   Advanced Excel skills. Experience   with financial planning tools/systems an asset.,,,,,
,,,,   ,,,,,
,,,,Ability to manage multiple deliverables and work   effectively under pressure.,,,,,
,,,,   ,,,,,
,,,,Superior writing and presentation skills   ,,,,,
,,,,Self-motivated and results oriented with a focus   on delivering high-quality work product.,,,,,
,,,,   ,,,,,
,,,,Experience in a growing operational environment an   asset,,,,,
,Do you hear the words ‘enterprise BI solution’ and your ears perk up?,,,,,,,,
,            ,,,,,,,,
,            ,,,,,,,,
,"Would you like to work for a company that is at the forefront of their industry, and is continually looking at staying cutting edge?",,,,,,,,
,                       ,,,,,,,,
,                       ,,,,,,,,
,"If you are interested in joining a company that is looking to expand their Business Intelligence team by implementing and upgrading their BI solutions, improving their reporting, and really integrating BI with their business, keep reading.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,WPCG,,,,,,,,
,,,,Apply product and system patches and perform       software version upgrades for voice/telephony servers and applications.,,,,,
,,,,"Manages and leads voice projects for both       technology and business aspects from preparing business case, choosing       technology, selecting vendor, testing and deploying to Production.",,,,,
,,,,"Implements, maintains, documents and tests       Business Continuity/Disaster Recovery Plan (BCP/DRP) for voice/data       infrastructure, systems, and applications.",,,,,
,,,,"Installs, maintains, and supports       telecommunication and call center systems including dialers, voice       response units, call back system, call monitoring systems, automatic call       distributors and call routers.",,,,,
,,,,"Supports other IT personnel by working as a team       to install, configure, monitor, and maintain network operating systems,       local area network, internet, and wide area network including       internal/external firewall, virtual private networking, intrusion       prevention system, intrusion detection system, access control server, and       core/access/blade/virtual switch.",,,,,
,,,,"Creates and updates department operating       procedures and instructions when performing voice and network       installation, diagnosis and repairs and provide knowledge transfer.",,,,,
,,,,A Bachelor’s Degree or       equivalent experiences with a major or minor in Computer Science or       related field.,,,,,
,,,,A minimum of four       years’ experience in the following areas:,,,,,
,,,,Tier 1 and or Tier 2 voice system support.,,,,,
,,,,"Telecommunication and Call Centre systems including dialers, voice        response units, call back system, call monitoring systems, automatic call        distributors and call routers.",,,,,
,,,,"Microsoft Technologies including Windows server/desktop operating        system, Active directory,",,,,,
, ,,,,,,,,
,"If you possess these skills and qualifications, we invite you to apply online in confidence at ",,,,,,,,
,www.corix.com,,,,,,,,
,.,,,,,,,,
,"We thank all candidates for their interest; however, only those shortlisted will be contacted.",,,,,,,,
,No telephone calls or recruitment agencies will be accepted.,,,,,,,,
,,,,Competitive salary,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, is looking for a ,,,,,,,,
,BI Developer Analyst,,,,,,,,
," to join our client on a permanent basis. This role will allow someone to use their extensive experience with Data warehouses, Data modeling, Data Mining and Cubes while providing analysis and proposing successful BI solutions.",,,,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,"Our client is motivated to find better ways to structure their data warehouse, as well as improve how they use and analyze data and information, to increase revenue streams.",,,,,,,,
,"You will be responsible for everything from gathering and documenting requirements, to the design, development and implementation of BI solutions around Data Warehouses and Data Cubes.",,,,,,,,
,Requirements:,,,,,,,,
,,,,  ,,,,,
,,,,"Excellent   knowledge and experience with BI Solutions, including cubes, data models, ETL   processes, dashboards and reporting.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Network operating systems, local area network, internet, and wide        area network including internal/external firewall, virtual private        networking, and core/access switch.",,,,,
,,,,Enterprise Contact Centre Solution from Avaya or Cisco,,,,,
,,,,"Certificate such as       Cisco CCNA/CCNP in Routing and Switching/Voice, PMP, ITIL",,,,,
,,,,"Working knowledge with       Cisco technologies including Cisco UCS Server, Cisco Unified Contact       Center Express, Cisco Unified Communications Manager, and Instant       Messaging and Presence with Cisco Jabber",,,,,
,,,,"Voice recording       solution (Verint Systems), Workforce Management solution (Aspect), Mobile       Device Management solution (Good Enterprise), and Video Conferencing       solution (Cisco)",,,,,
,,,,Internal training programs,,,,,
,,,,Work-life balance and flexible work arrangements,,,,,
,,,,A pristine record of safety and environmental performance,,,,,
,,,,Support Procurement and Inventory Management,,,,,
,,,,Product Category setup and maintenance to established Corix criteria,,,,,
,,,,Item Card setup and maintenance to established Corix criteria,,,,,
,,,,Procurement data setup and maintenance,,,,,
,,,,"Maintain Vendor relationships, keep current with product information and pricing",,,,,
,,,,Vendor Pricing setup and maintenance to established Corix criteria,,,,,
,,,,Inventory analysis and reporting,,,,,
,,,,Product knowledge,,,,,
,,,,Inventory control and data management experience is an asset,,,,,
,,,,Sales and purchasing experience is an asset,,,,,
,,,,Good understanding of accounting procedures and asset,,,,,
,,,,"Exceptional analytical and problem solving skills, detail oriented",,,,,
,,,,"Good working knowledge of Windows, Excel, Word, Outlook and Navision required",,,,,
,,,,Excellent communication skills and ability to work independently and in a team,,,,,
,,,,Excellent organizational skills and the ability to multitask,,,,,
,,,,Experience managing people and working in a leadership role is an asset.,,,,,
,,,"<title>
    Intermediate Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,3-5 years of Systems Analysis experience,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,,,,2+ years of experience with Oracle      Spatial,,,,,
,,,,4+ years of experience with ASP.NET/C#,,,,,
,,,,Experience with Oracle Databases      (strongly preferred) or SQL Server,,,,,
,,,,"Some Web Development in HTML, JavaScript,      CSS or REST API.",,,,,
,,,,Knowledge of PL/SQL is highly      desirable.  ,,,,,
,,,,Strong   understanding and experience with SQL and overall data interfaces. SQL   programming is an asset.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Proven   abilities to interact with business users to understand Business Intelligence   and Reporting needs (SSRS), and designing solutions to address   these.",,,,,
,,,,  ,,,,,
,,,,"Data Center       Infrastructure technologies such as Cisco switches, Palo Alto firewall,       VMWare vSphere for server virtualization, VMWare View for desktop       virtualization (VDI), VMWare Thinapp for application virtualization, IBM       Blade Centre for server consolidation, and MS Windows for server and       desktop Operating System",,,,,
,,,,"design, business requirements gathering,       requirements analysis, object modeling ",,,,,
,,,, ,,,,,
,,,,Hands-on experience with PeopleSoft      and/or Kronos,,,,,
,,,, ,,,,,
,,,,Integrated systems design and      development experience,,,,,
,,,,Ability to create system data flow definitions and diagrams,,,,,
,,,,"Creating technical conversion specifications including data mapping      from existing sources, transaction volumes, security, performance requirements      and identification of technical limitations, including application      capacity",,,,,
,,,,Creating non-functional requirements,,,,,
,,,,Researching trends in technology and/or      application development patterns,,,,,
,,,"<title>
    Quality Assurance Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,On behalf of our high profile client here in ,,,,,,,,
,,,"<title>
    Senior Programmer Analyst - Supply Chain Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,WPCG,,,,,,,,
, is hiring a ,,,,,,,,
,Senior Programmer Analyst,,,,,,,,
,,,"<title>
    Senior Programmer Analyst-(Business Intelligence) Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    HRIS Business Developer Intelligence Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,Do you excel in a modern and energetic IT environment? Are you inspired by coworkers that share the same passion for technology and innovation?,,,,,,,,
,                       ,,,,,,,,
,                       ,,,,,,,,
,WPCG,,,,,,,,
, is searching for a ,,,,,,,,
,,,"<title>
    IP Engineering Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,"Designs, purchases and/or provides network elements, facilities, ",,,,,
,,,"<title>
    Management Consulting-Business Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Intermediate Support Analyst Job in Richmond V6V2Z3, British Columbia Canada
  </title>",,,,,,
,,,,Competitive salary,,,,,
,,,,  ,,,,,
,,,,"Overall   knowledge of metadata, complex reporting, OLAP cubes and data   models.",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Experience   interacting with Marketing Departments and looking at Marketing data is an   asset.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ability   to work in an environment that is dynamic and fast   paced.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Passion   for what you do, and enjoy challenging yourself.",,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Quality Assurance Analyst ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,permanent,,,,,,,,
, opportunity.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,"The Quality Assurance Analyst provides specialist advice and analysis to ensure that all information systems programs and projects meet end-user requirements and organizational standards for usability, operability and performance.",,,,,,,,
,"You will be responsible for creating project quality performance test plans, selecting tools, setting up environments, designing performance testing framework, scripting, executing performance tests, and analyzing results, implementing quality initiatives, test execution and tool selection. The focus will primarily be on systems programs and projects to meet end-user performance requirements and organizational standards for usability, operability and performance.   Majority of work will be performed in a formal project or program team. Projects and programs typically have a high degree of complexity, influence, and impact as solutions are generally designed for the majority of constituents in our client’s community. ",,,,,,,,
," for a nationally-recognized retail industry leader. They are known for providing career growth and retaining great people over the long term. With several long-term projects planned in the future, this will be a great place to ensure an exciting next step in your career.",,,,,,,,
,                                            ,,,,,,,,
,                                            ,,,,,,,,
,Key responsibilities,,,,,,,,
,Qualifications:,,,,,,,,
,WPCG,,,,,,,,
, is hiring a ,,,,,,,,
,Senior Programmer Analyst,,,,,,,,
," for a nationally-recognized retail industry leader. They are known for providing career growth and retaining great people over the long term. With several long-term projects planned in the future, this will be a great place to ensure an exciting next step in your career.",,,,,,,,
,                                            ,,,,,,,,
,                                            ,,,,,,,,
,Key responsibilities,,,,,,,,
,Business Intelligence Developer Analyst,,,,,,,,
, for one of our Vancouver based clients. ,,,,,,,,
,        ,,,,,,,,
,        ,,,,,,,,
,Job Description,,,,,,,,
,:,,,,,,,,
,"The BI Developer Analyst will gather requirements, develop and implement reports, dashboards, alerts and other deliverables required to improve the performance of the business technologies related to: Cognos, SSRS, SSAS, SSIS, Crystal and application specific reporting.",,,,,,,,
,,,,circuits (physical and virtual),,,,,
,,,,t,,,,,
,,,,"o corporate infrastructure and customer premises. Develops and provides instructions, technical documents and drawings. Recommends and purchases maintenance spares. Negotiates pricing, problem resolution, product enhancements and contracts with equipment vendors, contractors and/or customers.",,,,,
,,,,"Project manages by planning, organizing, coordinating, directing and assisting the combined effect of functional staff, vendors and contract services.",,,,,
,,,,Provides support to other internal departments and external customers to ensure that sufficient capacity and infrastructure are in place for the successful completion of projects and customer requests.,,,,,
,,,,"Provides technical support during the installation of corporate infrastructure and during the installation of services requested by the customer. Accountable for the acceptance and configuration of installations to ensure design, hardware, software and installation meets engineering specifications.",,,,,
,,,,Provides individual and project forecast for capital budgeting as well as project manpower forecasting. Prioritizes and monitors spending to ensure the cost effectiveness of projects.,,,,,
,,,,"Responsible for the capacity management and optimization of network elements and physical infrastructure and provides, designs and maintains corporate network infrastructure records.",,,,,
,,,,Develops specifications for and issues tenders and Request for Proposal for the procurement of corporate or customer infrastructure. Coordinates the evaluation and award process and finalizes negotiations with vendors.,,,,,
,,,,"Develops, directs and evaluates partnerships with government agencies, vendors, carriers, consultants and contractors.",,,,,
,,,,"Provides technical support and expertise and/or project management, network and/or physical architecture / conception / design, installation and commissioning for professional services projects as required.",,,,,
,,,,Comprehensive benefits package,,,,,
,,,,Generous vacation package,,,,,
,,,,Company-matched retirement savings program,,,,,
,,,,Internal training programs,,,,,
,,,,Tuition reimbursement program,,,,,
,,,,Work-life balance and flexible work arrangements,,,,,
,,,,A pristine record of safety and environmental performance,,,,,
,,,,Respond to various queries and generate reporting as requested by operational resources,,,,,
,,,,"Investigate the accuracy and completeness of meter exchange work order issues, field data queries and handheld image issues as required",,,,,
,,,,Validate and review field statistics to determine data issues,,,,,
,,,,Ensure all data is appropriately entered into data systems in a timely and accurate manner,,,,,
,,,,Assist with the deployment and troubleshooting of upgrades and change requests,,,,,
,,,,Prioritize requests based on operational and information services requirements,,,,,
,,,,"Examine documents and resources and monitor work processes in order to assess completeness, accuracy and conformance standards and expectations",,,,,
,"Outside of project/program assignments, the Quality Assurance Analyst with other Quality Assurance Analysts will work on best practices improvements for the purpose of achieving a high level of quality in all project deliverables, ensuring that software quality exceeds industry norms for accuracy, reliability and scalability. This includes providing support and advice to other analysts and developers on quality assurance activities both within the department and to our client’s greater IT community. ",,,,,,,,
,Qualifications:,,,,,,,,
,,,,  ,,,,,
,,,,Systems   design and analysis activities to deliver technical solutions to business   opportunities as needed,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Plans   and leads system and integration test cycles and execution when   needed,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ensures   standards and technical direction are implemented in deliverables   ,,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,Requirements,,,,,,,,
,:,,,,,,,,
,Do you excel in a modern and energetic IT environment? Are you inspired by coworkers that share the same passion for technology and innovation?,,,,,,,,
,                       ,,,,,,,,
,                       ,,,,,,,,
